,test_date,prediction,true_value
0,2018-01-02,3310.8608722686768,3307.17
1,2018-01-03,3321.0608959198,3348.33
2,2018-01-04,3356.436252593994,3369.11
3,2018-01-05,3384.19508934021,3385.71
4,2018-01-08,3398.991107940674,3391.75
5,2018-01-09,3408.256769180298,3409.48
6,2018-01-10,3421.6177463531494,3413.9
7,2018-01-11,3424.8359203338623,3421.83
8,2018-01-12,3432.727575302124,3425.34
9,2018-01-15,3434.0455532073975,3428.94
10,2018-01-16,3437.7193450927734,3410.49
11,2018-01-17,3431.288480758667,3436.59
12,2018-01-18,3443.2060718536377,3444.67
13,2018-01-19,3456.409692764282,3474.75
14,2018-01-22,3480.2768230438232,3487.86
15,2018-01-23,3498.1675148010254,3501.36
16,2018-01-24,3506.9456100463867,3546.5
17,2018-01-25,3548.0797290802,3559.47
18,2018-01-26,3566.805601119995,3548.31
19,2018-01-29,3560.7244968414307,3558.13
20,2018-01-30,3566.664934158325,3523.0
21,2018-01-31,3548.2494831085205,3488.01
22,2018-02-01,3506.511926651001,3480.83
23,2018-02-02,3487.02073097229,3446.98
24,2018-02-05,3464.6122455596924,3462.08
25,2018-02-06,3460.904598236084,3487.5
26,2018-02-07,3477.057695388794,3370.65
27,2018-02-08,3393.5859203338623,3309.26
28,2018-02-09,3364.320993423462,3262.05
29,2018-02-12,3302.7968406677246,3129.85
30,2018-02-13,3161.5612506866455,3154.13
31,2018-02-14,3162.372827529907,3184.96
32,2018-02-22,3210.895299911499,3199.16
33,2018-02-23,3216.4859771728516,3268.56
34,2018-02-26,3282.4060916900635,3289.02
35,2018-02-27,3315.882921218872,3329.57
36,2018-02-28,3349.639654159546,3292.07
37,2018-03-01,3332.827091217041,3259.41
38,2018-03-02,3286.613941192627,3273.75
39,2018-03-05,3284.895181655884,3254.53
40,2018-03-06,3269.6025371551514,3256.93
41,2018-03-07,3270.44415473938,3289.64
42,2018-03-08,3301.9721508026123,3271.67
43,2018-03-09,3300.1158237457275,3288.41
44,2018-03-12,3304.1317462921143,3307.17
45,2018-03-13,3322.9877948760986,3326.7
46,2018-03-14,3343.581438064575,3310.24
47,2018-03-15,3335.7157707214355,3291.38
48,2018-03-16,3312.7477169036865,3291.11
49,2018-03-19,3305.835008621216,3269.88
50,2018-03-20,3294.8877811431885,3279.25
51,2018-03-21,3293.3554649353027,3290.64
52,2018-03-22,3300.089120864868,3280.95
53,2018-03-23,3304.8079013824463,3263.48
54,2018-03-26,3292.371988296509,3152.76
55,2018-03-27,3187.8864765167236,3133.72
56,2018-03-28,3144.306421279907,3166.65
57,2018-03-29,3183.7592124938965,3122.29
58,2018-03-30,3159.031867980957,3160.53
59,2018-04-02,3175.8224964141846,3168.9
60,2018-04-03,3194.469213485718,3163.18
61,2018-04-04,3195.4283714294434,3136.63
62,2018-04-09,3166.5685176849365,3131.11
63,2018-04-10,3163.7003421783447,3138.29
64,2018-04-11,3165.459156036377,3190.32
65,2018-04-12,3202.913522720337,3208.08
66,2018-04-13,3231.1031818389893,3180.16
67,2018-04-16,3213.0887508392334,3159.05
68,2018-04-17,3199.106454849243,3110.65
69,2018-04-18,3158.1099033355713,3066.8
70,2018-04-19,3113.5668754577637,3091.4
71,2018-04-20,3117.9091930389404,3117.38
72,2018-04-23,3140.289068222046,3071.54
73,2018-04-24,3111.785650253296,3068.01
74,2018-04-25,3098.6273288726807,3128.93
75,2018-04-26,3147.8898525238037,3117.97
76,2018-04-27,3145.0085639953613,3075.03
